"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"54","Djibouti","DJI","Africa","Middle East & North Africa",64.87227,44.12433,1040.233,19.98484,6.58133,2.49675,2.11,14.16953,8.26723,NA,NA,NA,26.154,6400.62016334753
"55","Dominica","DMA","Americas","Latin America & Caribbean",NA,30.83136,70.403,7.87162,NA,6.3197,11.58,29.8291,55.17701,NA,NA,12.396614074707,NA,17420.2512475009
"56","Denmark","DNK","Europe","Europe & Central Asia",81.184,3.06425,5764.98,9.57146,1.09173,9.47586,72.35,25.13733,93,NA,NA,13.3946027755737,5.094,71390.0024641919
"57","Dominican Republic","DOM","Americas","Latin America & Caribbean",73.32103,26.82781,10647.244,7.25471,17.84743,4.57255,24.26,14.2068,45,95.5,"Santo Domingo",11.8739490509033,5.555,23087.9343626862
"58","Algeria","DZA","Africa","Middle East & North Africa",75.97765,18.65796,41136.546,22.68313,1.65664,3.62304,16.6,16.3266,15.22803,81.4078369140625,"Algiers",11.8480348587036,11.701,15159.324237194
"59","Ecuador","ECU","Americas","Latin America & Caribbean",73.95801,10.45579,16696.944,16.18955,2.45828,7.53457,23.13,13.03312,35.13451,94,"Quito",12.9366292953491,3.51,14472.3165053895
"60","Egypt","EGY","Africa","Middle East & North Africa",69.10822,15.50316,101789.386,46.73214,6.50859,4.70438,6.71,11.31688,44.07,74.5,"Cairo",11.4635009765625,7.334,16691.1332373374
"61","Eritrea","ERI","Africa","Sub-Saharan Africa",63.57308,28.0127,3396.933,24.03607,4.5984,3.87448,0.88,9.97506,0.8,76.5705184936523,"Asmara",NA,5.586,NA
"62","Spain","ESP","Europe","Europe & Central Asia",82.66267,2.53719,46593.236,9.14429,0.55968,9.73829,42.94,29.42999,72,99,"Madrid",12.9715948104858,12.179,47298.4121876661
"63","Estonia","EST","Europe","Europe & Central Asia",77.13131,1.45978,1317.384,6.35007,3.24032,6.98701,34.69,44.63595,79,99.870002746582,"Tallinn",13.4839639663696,6.378,41668.8375702059
"64","Ethiopia","ETH","Africa","Sub-Saharan Africa",67.83909,33.93167,108197.95,22.23134,10.68802,2.85275,1.43,3.3,1.48281,51.7711791992188,"Addis Ababa",7.80644083023071,3.402,2755.45709577808
"65","Finland","FIN","Europe","Europe & Central Asia",81.53419,1.88342,5508.214,5.46669,1.02063,9.65892,36.09,28.2595,91,NA,NA,13.7467031478882,7.151,56454.8496937512
"66","Fiji","FJI","Oceania","East Asia & Pacific",65.50058,23.63212,919.019,8.14282,1.03886,6.49743,8.13,18.93324,33.74236,NA,NA,11.3332958221435,4.322,13652.4908672464
"67","Falkland Islands","FLK","Americas","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","France","FRA","Europe","Europe & Central Asia",81.92274,3.27992,66918.02,12.0337,1.03168,11.8819,32.81,60.00584,83,NA,NA,13.8026580810547,7.335,53969.0375681581
"69","Faroe Islands","FRO","Europe","Europe & Central Asia",NA,NA,50.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70373.3769321133
"70","Micronesia (Federated States of)","FSM","Oceania","East Asia & Pacific",65.70957,20.5036,110.43,8.12769,2.95975,10.3447,9.74,32.2618,25.97442,NA,NA,11.8226890563965,NA,3886.69657098366
"71","Gabon","GAB","Africa","Sub-Saharan Africa",65.09381,28.75057,2140.215,33.95597,13.76636,2.85592,5.21,19.58815,8.61671,85.6900024414062,"Libreville",8.25553798675537,20.278,18702.6905177984
"72","United Kingdom","GBR","Europe","Europe & Central Asia",80.10063,3.57431,66058.859,7.81825,1.28491,11.05088,33.01,23.45445,87.0162,NA,NA,13.8582963943481,3.984,52588.9794302902
"73","Georgia","GEO","Asia","Europe & Central Asia",71.24039,8.29915,3728.004,16.92841,3.58139,7.2557,56.42,49.39043,45.5031,100,"Tbilisi",12.9356689453125,11.537,22590.5293543813
