"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"41","Congo - Kinshasa","COD","Africa","Sub-Saharan Africa",61.83901232,44.471651143,109276.265,32.98959,12.42099214,3.97694445,2.08,8,1.67996,65.6914486099044,"Kinshasa",9.13184547424316,4.421,1602.074979895
"42","Congo - Brazzaville","COG","Africa","Sub-Saharan Africa",63.17262301,59.859921994,6332.961,29.48397,9.328677701,1.97311735,1.14,NA,6.1067,76.1100006103516,"Brazzaville",8.91276931762695,19.895,6181.47071635967
"43","Cook Islands","COK","Oceania","East Asia & Pacific",NA,12.173058448,NA,7.76376,NA,5.62821245,14.55,91.417296942,NA,NA,NA,NA,NA,NA
"44","Colombia","COL","Americas","Latin America & Caribbean",77.57662615,13.151425933,52886.363,17.3316,37.28164179,7.67864323,22.97,17.342566302,48.98432,95.3399963378906,"Bogota",12.8603744506836,9.619,18477.2146664536
"45","Comoros","COM","Africa","Sub-Saharan Africa",67.4970386,37.792926423,866.628,14.53778,7.745848539,6.55212021,4.24,21.6,5.9753,75.8250571350015,"Moroni",8.17353343963623,3.815,3482.53486037478
"46","Cape Verde","CPV","Africa","Sub-Saharan Africa",73.16097765,29.364757963,524.877,31.08072,12.52419202,4.85231543,5.71,20.84288795,34.74342,88.4700012207031,"Praia",NA,11.883,9848.95276350935
"47","Costa Rica","CRI","Americas","Latin America & Caribbean",78.63053412,7.696717289,5129.91,14.69544,12.36137547,7.61130476,26.87,11.97630352,47.50092,97.4100036621094,"San Jose",13.1157264709473,6.936,26973.4361580719
"48","Cuba","CUB","Americas","Latin America & Caribbean",78.14353782,6.316302047,10979.783,14.28114,5.105498076,11.31422806,85.05,42.136610453,25.6417,97.6500015258789,"Havana",NA,1.755,NA
"49","Curaçao","CUW","Americas","Latin America & Caribbean",NA,NA,155.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28762.058180431
"50","Cayman Islands","CYM","Americas","Latin America & Caribbean",NA,NA,74.457,NA,NA,NA,NA,NA,NA,98.870002746582,"George Town",NA,NA,79675.8568481808
"51","Cyprus","CYP","Asia","Europe & Central Asia",82.05668584,2.551622229,1358.282,15.38302,1.212398537,8.11912918,26.51,26.227449979,61,98.6800003051758,"Nicosia",13.5876054763794,4.9,50082.71875
"52","Czechia","CZE","Europe","Europe & Central Asia",77.07730392,2.522355979,10905.028,14.34125,0.67931726,8.42677402,42.39,66.340414763,75,NA,NA,13.5641040802002,2.6,47963.8968485782
"53","Germany","DEU","Europe","Europe & Central Asia",80.79637728,4.086666449,83516.593,11.65641,0.927887849,11.18380833,44.43,75.501753526,84,NA,NA,13.3306179046631,3.4,62554.5547232436
"54","Djibouti","DJI","Africa","Middle East & North Africa",64.3388502,45.89983865,1168.722,19.98484,5.796182292,2.530864,2.16,13.975366783,8.26723,NA,NA,NA,26.007,6871.12440453129
"55","Dominica","DMA","Americas","Latin America & Caribbean",NA,27.522636525,66.205,8.22238,NA,6.18495989,11.68,39.680153911,55.17701,NA,NA,12.396614074707,NA,18739.3640404986
"56","Denmark","DNK","Europe","Europe & Central Asia",80.51401409,4.75313921,5976.992,9.65653,1.15970653,10.28229332,45.3,25.126456113,93,NA,NA,13.3946027755737,5.358,71431.2926242287
"57","Dominican Republic","DOM","Americas","Latin America & Caribbean",73.32102758,NA,11427.557,7.58534,19.53542288,4.92594242,21.22,7.469598496,45,94.0299987792969,"Santo Domingo",11.8739490509033,5.312,24229.8894872915
"58","Algeria","DZA","Africa","Middle East & North Africa",75.93393131,21.271680811,46814.308,22.68313,1.647468874,4.35082531,18.34,16.110127432,15.22803,75.1399993896484,"Algiers",11.8480348587036,11.655,15501.9197003966
"59","Ecuador","ECU","Americas","Latin America & Caribbean",77.31252311,11.33408143,18135.478,16.54855,7.617389532,7.56167889,20.55,13.125633945,35.13451,96.2600021362305,"Quito",12.9366292953491,3.453,13935.5391125402
"60","Egypt","EGY","Africa","Middle East & North Africa",71.58973358,47.011997781,116538.258,62.04866,3.445890388,4.74892998,7.3,11.933075589,44.07,79.4565788949049,"Cairo",11.4635009765625,6.817,16798.151577864
"61","Eritrea","ERI","Africa","Sub-Saharan Africa",63.76432633,91.028760437,3535.603,23.55812,10.43402278,4.31117725,0.88,10.220747397,0.8,64.6600036621094,"Asmara",NA,5.947,NA
"62","Spain","ESP","Europe","Europe & Central Asia",81.92498871,5.93044944,48848.84,10.07741,0.540684494,9.21539497,44.29,29.273878541,72,99.6999969482422,"Madrid",12.9715948104858,11.4,48460.2914069661
"63","Estonia","EST","Europe","Europe & Central Asia",78.2161445,3.894062419,1372.341,6.35007,1.847200072,6.93641424,34.79,41.252314957,79,99.8899993896484,"Tallinn",13.4839639663696,7.6,41189.6675300734
"64","Ethiopia","ETH","Africa","Sub-Saharan Africa",68.84848169,126.697650479,132059.767,21.80471,6.721620366,2.80310345,1.05,NA,1.48281,60.4599990844727,"Addis Ababa",7.80644083023071,3.357,2892.22220168264
"65","Finland","FIN","Europe","Europe & Central Asia",80.2843093,1.848254139,5619.911,5.46669,NA,9.90969753,28.75,27.586734617,91,NA,NA,13.7467031478882,8.4,56123.1479579839
