essround,idno,agea,eduyrs,eisced,gndr,iscoco,isco08,hinctnt,hinctnta,male,age,age_rec,years_schooling,educ_level,hincome,occup_cat,emplrel,emplno,isco_mainjob,emplrel_r1,emplno_r1,selfem_mainjob,class16_r1,class8_r1,class5_r1,emplrel_r2,emplno_r2,class16_r2,class8_r2,class5_r2,class5_r
10,37452,68,7,2,1,NA,7233,NA,6,male,68,>=65,7,Low education,6,blue-collar,1,66666,7233,1,66666,1,NA,NA,NA,1,66666,7,4,4,Skilled workers
10,37455,62,99,2,2,NA,7531,NA,2,female,62,45-64,NA,Low education,2,blue-collar,2,0,7531,2,0,2,NA,NA,NA,2,0,4,2,3,Small business owners
10,37460,71,10,3,1,NA,110,NA,5,male,71,>=65,10,Secondary education,5,managers,1,66666,110,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,37486,44,28,7,2,NA,2341,NA,8,female,44,30-44,28,High education,8,professionals,1,66666,2341,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,37498,55,17,7,2,NA,2634,NA,77,female,55,45-64,17,High education,NA,professionals,1,66666,2634,1,66666,1,NA,NA,NA,1,66666,NA,NA,NA,NA
10,37505,61,15,2,2,NA,4110,NA,2,female,61,45-64,15,Low education,2,clerical,1,66666,4110,1,66666,1,NA,NA,NA,1,66666,11,6,4,Skilled workers
10,37544,81,0,1,2,NA,66666,NA,3,female,81,>=65,0,Low education,3,NA,6,66666,66666,6,66666,NA,NA,NA,NA,6,66666,NA,NA,NA,NA
10,37616,77,3,1,2,NA,9111,NA,3,female,77,>=65,3,Low education,3,blue-collar,3,66666,9111,3,66666,2,NA,NA,NA,3,66666,4,2,3,Small business owners
10,37620,70,25,6,2,NA,2221,NA,9,female,70,>=65,25,High education,9,professionals,1,66666,2221,1,66666,1,NA,NA,NA,1,66666,13,7,1,Higher-grade service class
10,37634,29,5,6,2,NA,2411,NA,3,female,29,20-29,5,High education,3,professionals,1,66666,2411,1,66666,1,NA,NA,NA,1,66666,9,5,1,Higher-grade service class
10,37647,68,16,7,1,NA,1219,NA,8,male,68,>=65,16,High education,8,managers,2,2,1219,2,1,3,NA,NA,NA,2,1,3,2,3,Small business owners
10,37657,41,99,5,1,NA,9111,NA,99,male,41,30-44,NA,High education,NA,blue-collar,1,66666,9111,1,66666,1,NA,NA,NA,1,66666,16,8,5,Unskilled workers
10,37711,49,13,2,2,NA,5230,NA,77,female,49,45-64,13,Low education,NA,service,1,66666,5230,1,66666,1,NA,NA,NA,1,66666,16,8,5,Unskilled workers
